customer_id,tenure_months,monthly_fee,total_usage_last_30d,support_tickets_last_90d,has_outstanding_invoice,discount_received_last_6m,num_competing_offers_in_region,is_premium_plan,engagement_score,region,segment,device_type,churn_next_30d
12168,11,16.69,27.8,1,0,0,0,0,62.9,West,Consumer,Desktop,0
6718,17,20.69,56.7,1,0,0,1,0,42.8,West,Consumer,Mobile,0
1035,18,17.43,10.9,0,0,0,4,0,,South,SMB,Desktop,0
11989,28,19.36,33.4,0,0,0,1,0,57.6,West,SMB,Desktop,0
14936,9,49.04,0.0,4,0,0,1,1,22.8,North,Consumer,SmartTV,1
1444,12,17.2,5.4,1,0,0,2,0,23.4,North,Consumer,SmartTV,0
9923,19,22.34,5.6,1,0,0,0,0,26.2,East,SMB,Desktop,0
3170,12,13.64,9.2,4,0,1,2,0,24.7,East,Consumer,SmartTV,0
5827,5,23.98,41.6,0,0,0,1,0,27.8,East,Enterprise,Mobile,1
2251,41,17.47,28.6,2,1,0,1,0,37.3,East,SMB,Desktop,0
13574,26,53.02,16.7,1,0,1,0,1,,East,Consumer,Desktop,0
6293,14,43.46,27.9,4,0,0,2,1,40.1,West,SMB,Mobile,1
3847,16,9.42,10.4,3,0,0,2,0,26.5,East,Consumer,Mobile,0
15847,15,7.36,52.0,1,0,0,0,0,48.0,South,Consumer,Mobile,0
4220,10,15.34,38.1,0,0,0,0,0,61.1,East,Consumer,Desktop,0
6660,46,23.0,0.9,0,0,1,1,0,29.2,South,Consumer,SmartTV,0
2755,14,13.06,26.0,1,0,0,1,0,85.9,West,SMB,Mobile,0
8510,22,49.16,53.3,1,0,1,1,1,76.2,West,Consumer,Mobile,0
12010,12,18.17,22.8,2,0,0,4,0,58.8,South,Consumer,SmartTV,0
8710,5,16.49,44.4,1,1,0,1,0,44.9,South,Consumer,Desktop,1
19655,13,21.05,51.3,0,0,1,2,0,76.5,South,Enterprise,Desktop,0
3269,13,22.77,13.1,0,0,0,0,0,34.1,West,SMB,Desktop,0
16420,11,39.67,15.1,2,0,1,1,1,51.8,North,Consumer,Tablet,1
7639,17,14.39,25.3,2,0,0,2,0,54.4,East,SMB,Desktop,0
9304,48,15.58,13.6,1,0,1,1,0,58.8,East,Consumer,Mobile,0
10885,16,20.38,141.0,0,0,1,2,0,74.2,West,Consumer,Desktop,0
10040,11,19.08,2.5,0,0,0,0,0,80.0,East,Consumer,SmartTV,0
17206,16,21.48,30.7,0,0,0,1,0,47.4,West,Consumer,Mobile,0
16493,32,14.2,8.4,0,0,0,4,0,52.3,East,Consumer,Mobile,0
11821,7,15.08,76.6,1,0,0,1,0,60.7,West,Consumer,Desktop,0
5273,11,46.3,60.2,1,0,0,4,1,65.5,West,Consumer,SmartTV,0
4150,7,22.34,11.3,0,0,1,1,0,40.4,South,Consumer,Desktop,0
2445,14,40.3,8.9,1,1,1,1,1,60.9,South,Consumer,Desktop,0
13348,7,19.88,10.3,1,0,1,2,0,10.7,West,Consumer,Desktop,1
6550,13,17.87,24.0,0,0,1,0,0,71.8,North,Consumer,SmartTV,0
12815,9,45.13,3.7,2,0,0,0,1,33.3,North,SMB,Mobile,0
18917,26,24.72,93.4,2,0,0,3,0,66.4,South,Consumer,Mobile,0
17257,34,16.97,20.8,0,0,0,1,0,62.0,South,Enterprise,Desktop,0
4505,17,18.43,69.5,0,0,0,1,0,74.4,North,Consumer,Mobile,0
1963,39,42.89,22.0,0,0,0,1,1,34.0,East,Consumer,Mobile,0
8201,23,47.77,12.0,0,0,0,4,1,17.8,North,SMB,Desktop,0
18221,4,16.31,58.1,0,0,1,1,0,78.5,East,Consumer,Tablet,0
9560,21,23.59,30.0,0,0,0,0,0,21.0,East,SMB,Tablet,0
14781,11,29.15,32.2,0,0,0,2,0,39.5,East,Consumer,SmartTV,0
11287,14,19.45,25.7,1,0,0,2,0,55.5,West,SMB,Mobile,0
8483,40,22.87,22.8,0,0,1,2,0,45.2,West,Consumer,Desktop,0
19334,22,15.35,54.9,2,0,0,3,0,53.3,South,Consumer,Tablet,0
17407,6,19.89,44.4,0,0,1,0,0,55.2,North,Consumer,Mobile,0
16297,41,37.48,95.0,1,0,1,2,1,,North,Consumer,Mobile,0
11548,47,15.04,53.0,1,0,0,2,0,74.6,South,SMB,Desktop,0
11320,12,14.75,23.6,4,0,0,1,0,23.1,North,Consumer,Mobile,1
7773,20,7.3,59.2,0,0,1,4,0,62.2,North,Consumer,Mobile,0
1183,24,25.28,20.3,0,0,0,1,0,90.3,North,Consumer,SmartTV,0
3650,27,7.66,4.7,2,0,1,1,0,16.6,West,Consumer,Mobile,1
8538,20,18.47,11.2,2,1,0,2,0,24.8,West,Consumer,Tablet,1
11571,1,15.35,5.6,0,1,0,2,0,11.6,West,Consumer,Desktop,0
6933,15,18.28,6.9,0,0,0,1,0,13.7,East,SMB,SmartTV,0
16151,20,19.9,,0,0,0,4,0,29.7,North,Enterprise,Mobile,0
11887,36,14.77,83.8,0,0,1,0,0,80.4,West,Consumer,Mobile,0
11510,10,20.36,34.7,1,0,0,0,0,39.3,South,Consumer,Desktop,0
18870,8,27.1,44.1,0,0,0,1,0,76.5,North,SMB,Mobile,0
6468,23,42.92,27.1,0,1,0,2,1,86.7,East,Consumer,Desktop,0
16046,53,49.85,52.5,1,1,0,0,1,57.6,East,SMB,Tablet,0
3074,21,50.65,55.9,1,0,0,0,1,94.2,East,SMB,Mobile,0
17874,17,44.26,13.1,2,0,1,2,1,32.8,East,Consumer,Mobile,0
6429,27,21.49,48.4,2,0,0,1,0,48.1,South,Consumer,Mobile,0
15257,17,17.42,48.6,2,0,1,0,0,52.5,East,Enterprise,Desktop,0
8157,17,13.98,18.9,1,0,0,4,0,,West,Consumer,Mobile,0
7922,1,5.32,18.4,3,1,0,2,0,27.5,South,Enterprise,SmartTV,0
15031,11,37.17,8.9,0,0,0,2,1,28.8,West,Consumer,Mobile,0
9751,11,22.14,43.2,2,0,1,2,0,60.5,West,Consumer,Tablet,1
17515,31,20.36,19.2,1,0,0,2,0,36.1,East,Consumer,SmartTV,0
2857,19,25.12,48.2,3,0,0,2,0,49.7,East,Consumer,Mobile,1
9721,13,13.97,126.9,1,0,1,0,0,74.9,East,Consumer,Desktop,0
18938,41,30.68,22.7,3,1,0,2,1,44.4,West,Consumer,Mobile,0
14929,24,39.13,30.4,1,0,0,2,1,45.3,South,Consumer,Mobile,0
15909,25,10.53,29.6,1,0,1,3,0,51.1,South,SMB,Tablet,0
12372,25,42.23,4.2,0,0,0,1,1,52.2,North,Consumer,Mobile,0
5569,13,15.37,46.0,0,0,0,0,0,74.3,North,Consumer,Mobile,0
11025,18,11.46,51.6,1,0,0,2,0,59.9,North,Consumer,Mobile,0
12108,9,49.03,13.1,2,1,0,2,1,65.7,North,SMB,Desktop,1
9056,9,24.75,54.8,0,0,0,3,0,91.7,West,Consumer,Mobile,0
485,43,23.36,5.6,1,0,0,2,0,46.2,North,Consumer,SmartTV,0
16842,3,20.65,14.9,1,0,0,1,0,34.4,South,Consumer,Desktop,0
6247,18,38.81,23.7,0,0,0,3,1,39.3,West,Consumer,Mobile,0
12726,25,26.65,86.7,0,0,0,1,0,70.7,North,Enterprise,Mobile,0
2313,8,24.85,32.3,0,0,0,0,0,30.5,South,SMB,Desktop,0
3473,10,16.87,29.7,1,0,0,1,0,48.5,East,Consumer,Tablet,0
14975,13,18.16,21.7,3,0,1,2,0,34.4,North,Consumer,Desktop,1
2190,50,22.53,21.9,0,0,0,0,0,77.2,West,Consumer,Desktop,0
16090,3,14.82,2.4,2,0,0,4,0,9.1,South,SMB,Mobile,0
1731,12,17.91,16.7,0,0,1,1,0,74.1,West,Consumer,Desktop,0
9990,28,15.91,49.1,0,0,0,0,0,85.9,South,Consumer,SmartTV,0
11199,9,9.11,14.5,0,0,0,1,0,43.2,North,Consumer,Mobile,1
8338,10,14.01,16.8,3,0,0,2,0,22.3,North,Consumer,SmartTV,0
14471,47,19.61,40.7,2,0,0,2,0,49.0,South,Enterprise,Desktop,0
18469,5,15.33,18.9,0,1,0,3,0,48.2,West,Enterprise,SmartTV,0
18558,35,20.02,13.3,1,0,0,2,0,29.5,North,Enterprise,SmartTV,0
5351,8,18.56,11.2,1,0,0,1,0,50.0,West,SMB,Mobile,0
5684,30,18.18,34.0,1,0,0,2,0,36.7,East,Consumer,Desktop,0
439,20,14.36,33.4,1,0,1,1,0,86.8,East,SMB,Mobile,0
10953,75,37.42,39.4,0,0,1,2,1,49.4,South,Consumer,SmartTV,0
6245,12,29.95,37.2,0,0,1,2,0,52.5,North,Consumer,Desktop,0
13206,24,10.48,62.5,0,0,0,0,0,35.5,South,Enterprise,Mobile,0
19471,4,47.19,6.6,1,0,1,2,1,1.6,South,SMB,Mobile,0
4195,5,21.89,3.4,2,0,0,1,0,12.9,North,Consumer,Mobile,0
6146,15,56.11,15.5,0,0,0,1,1,30.1,East,SMB,Mobile,1
15412,18,51.36,36.9,0,0,0,2,1,45.1,East,Consumer,Mobile,0
9327,16,19.62,19.1,0,0,0,3,0,67.6,East,Consumer,SmartTV,0
14868,16,14.33,25.7,0,0,0,4,0,50.8,North,Consumer,SmartTV,0
19044,31,24.99,1.0,1,0,0,1,0,7.3,South,Consumer,Mobile,0
3756,54,23.2,30.2,1,0,0,0,0,46.3,South,Consumer,SmartTV,0
17841,35,15.12,48.7,1,0,1,1,0,66.0,North,Consumer,SmartTV,0
7224,31,16.76,6.0,0,1,0,2,0,38.0,North,Consumer,Desktop,0
11652,9,23.03,33.5,0,0,0,1,0,64.4,East,Enterprise,SmartTV,0
14747,21,26.57,16.6,1,0,0,1,0,,South,SMB,Desktop,0
2622,36,20.12,65.8,0,0,0,2,0,50.7,West,SMB,Mobile,0
19356,25,59.16,56.3,0,0,0,2,1,70.1,North,Consumer,SmartTV,0
1457,20,37.94,7.7,1,0,0,1,1,24.2,North,SMB,SmartTV,1
829,8,24.66,14.4,2,0,0,1,0,28.7,West,Consumer,Mobile,0
16688,19,24.9,9.6,0,0,1,0,0,28.1,North,Enterprise,Desktop,0
4308,17,9.17,37.8,0,0,0,3,0,87.1,South,Consumer,Tablet,0
1523,20,10.01,20.2,0,0,0,0,0,52.6,West,Consumer,Desktop,1
352,1,11.77,15.4,1,0,0,1,0,9.6,North,SMB,Desktop,1
4357,41,24.32,40.7,0,0,0,1,0,65.1,West,Consumer,Tablet,0
7783,30,22.41,7.6,3,1,1,1,0,25.2,South,Consumer,Mobile,0
5573,2,21.23,23.2,0,0,0,5,0,37.9,South,Consumer,Mobile,0
4044,34,47.9,17.5,0,0,1,1,1,23.3,West,Consumer,Mobile,0
18253,8,10.79,3.9,1,0,0,2,0,53.4,East,Consumer,Desktop,0
19926,3,19.65,52.9,0,0,0,2,0,76.4,East,SMB,SmartTV,1
6336,35,22.76,14.9,1,0,1,2,0,64.5,South,Consumer,Mobile,0
6873,15,18.8,45.1,0,0,0,1,0,38.2,South,Consumer,Desktop,0
12927,13,14.45,70.8,0,0,1,2,0,56.4,East,Consumer,Mobile,0
16874,23,14.25,10.0,1,1,0,2,0,6.3,West,Consumer,Mobile,0
19640,16,52.8,9.8,0,0,0,1,1,25.5,East,Consumer,Desktop,0
15761,15,26.05,34.4,1,0,0,2,0,22.5,South,Consumer,Desktop,0
6225,21,8.33,12.1,1,0,0,3,0,29.6,South,Consumer,Desktop,0
14106,16,21.69,33.3,1,0,1,2,0,62.1,South,Consumer,SmartTV,0
9439,23,20.49,3.4,1,0,1,1,0,42.1,South,SMB,Tablet,0
4161,13,18.79,5.7,1,0,0,3,0,23.9,East,Consumer,Mobile,0
4194,17,50.32,29.9,0,0,0,3,1,66.1,West,Consumer,SmartTV,0
15438,16,12.92,41.2,0,0,1,2,0,55.5,South,Consumer,Mobile,0
16066,10,18.77,21.2,1,0,0,2,0,50.1,West,Consumer,Desktop,0
3579,8,10.41,,0,0,0,1,0,51.4,East,Consumer,Mobile,0
8212,21,14.5,6.5,2,0,0,2,0,12.8,West,Consumer,Mobile,1
18376,16,29.2,24.1,1,0,0,3,0,37.4,East,Consumer,SmartTV,0
19588,14,51.41,23.4,0,0,0,2,1,38.4,North,Enterprise,Desktop,0
8797,29,14.52,15.5,0,0,0,0,0,36.4,South,SMB,Desktop,0
16621,9,19.24,40.0,1,0,0,0,0,65.5,East,Consumer,Tablet,1
8123,25,13.8,27.4,1,0,1,1,0,73.7,East,Consumer,Mobile,0
15360,5,19.48,6.2,1,1,0,0,0,18.5,South,Consumer,Mobile,1
11195,14,16.36,52.3,1,0,1,2,0,58.0,East,Consumer,Mobile,0
5847,23,43.17,8.1,1,0,0,3,1,14.4,West,SMB,Mobile,0
2266,34,25.46,15.9,3,0,0,1,0,39.6,North,Consumer,Tablet,0
1420,67,17.48,8.0,1,0,0,2,0,9.7,West,SMB,Tablet,0
4340,11,13.77,41.8,1,1,0,4,0,68.3,West,SMB,Desktop,0
18276,44,19.5,62.4,0,0,0,3,0,78.7,South,Consumer,Tablet,1
13461,16,11.78,49.8,2,0,0,3,0,80.6,North,Consumer,SmartTV,0
219,6,53.78,36.0,2,0,0,0,1,47.1,West,Consumer,SmartTV,0
12741,26,60.01,89.2,0,0,0,2,1,75.0,West,Consumer,Mobile,0
2004,16,13.9,3.0,1,0,0,3,0,57.9,East,Consumer,Mobile,0
12300,45,37.69,43.3,2,1,0,1,1,55.9,North,Consumer,Mobile,0
11711,27,8.97,9.4,1,0,0,3,0,28.6,East,SMB,Mobile,0
13981,19,19.11,27.5,1,0,0,1,0,21.2,East,SMB,Mobile,0
14753,26,10.86,33.4,1,0,0,2,0,72.1,South,Consumer,Mobile,0
3753,7,19.64,17.1,0,0,0,0,0,33.2,South,Consumer,Tablet,0
6406,17,17.02,24.6,1,1,0,3,0,57.5,East,Consumer,SmartTV,1
12575,25,16.5,24.3,2,1,0,4,0,46.7,East,Enterprise,Mobile,0
9385,27,19.69,19.1,1,0,0,0,0,47.1,South,Enterprise,Mobile,0
2715,27,22.62,20.6,0,0,1,4,0,31.3,West,Consumer,Desktop,0
3311,2,29.07,7.9,1,0,0,0,0,67.9,West,SMB,Mobile,0
4825,12,10.86,10.4,0,0,0,2,0,35.3,South,Consumer,Tablet,1
5865,21,13.57,78.8,2,0,0,2,0,65.0,East,SMB,Mobile,0
4011,30,28.1,24.7,0,1,0,0,0,78.1,North,Consumer,Tablet,0
14593,7,20.04,27.1,1,1,0,3,0,33.5,East,Consumer,Desktop,0
5113,25,54.82,5.3,0,0,0,0,1,3.6,East,Consumer,Desktop,1
12879,29,19.81,13.7,0,0,0,1,0,26.5,East,Consumer,SmartTV,0
13612,28,18.14,7.1,2,0,0,2,0,18.9,South,Consumer,Mobile,0
11409,24,25.76,,1,1,0,2,0,77.6,South,Consumer,SmartTV,0
12637,9,35.26,106.6,1,0,0,3,1,76.8,North,SMB,SmartTV,0
11437,13,13.13,26.2,0,0,0,1,0,57.1,South,Consumer,Mobile,0
5588,16,15.67,25.3,1,1,1,1,0,56.3,South,Consumer,SmartTV,0
5001,20,22.91,54.8,1,0,0,1,0,58.5,North,Consumer,Tablet,0
937,7,10.2,56.2,0,1,0,2,0,55.4,West,SMB,Mobile,0
4348,20,46.53,18.3,1,0,1,2,1,17.3,West,Consumer,SmartTV,0
6671,12,18.57,41.4,2,0,0,0,0,56.0,South,SMB,Desktop,0
2586,17,45.18,72.9,0,0,0,0,1,65.8,South,Consumer,Desktop,0
6849,43,44.97,111.3,2,0,0,1,1,72.0,North,Consumer,Mobile,0
11201,33,19.26,38.1,2,1,0,4,0,62.4,East,Consumer,SmartTV,0
10135,4,18.41,13.9,4,0,1,1,0,42.7,East,Consumer,Desktop,1
17554,10,21.43,29.9,0,0,0,5,0,50.8,South,Consumer,Tablet,0
17238,29,24.92,28.3,1,0,0,2,0,57.2,South,Consumer,Mobile,0
8690,19,21.29,3.9,1,0,0,2,0,15.4,West,Consumer,Desktop,1
7287,31,20.38,57.9,0,0,0,1,0,76.8,West,Consumer,Mobile,0
5461,13,19.34,16.4,0,0,0,1,0,61.9,East,SMB,Mobile,0
1403,3,18.18,19.1,0,0,1,4,0,61.5,West,Consumer,Desktop,0
16929,45,39.54,64.1,1,0,1,1,1,70.8,North,Consumer,Desktop,0
17095,27,16.65,13.6,0,0,1,1,0,18.5,West,Consumer,Mobile,1
4339,28,47.51,24.2,1,0,0,1,1,93.4,South,Enterprise,SmartTV,0
18038,9,18.35,34.7,1,0,0,1,0,37.1,East,Consumer,Desktop,0
10446,19,17.75,9.0,2,0,0,2,0,34.9,North,Consumer,Tablet,0
1093,26,13.05,21.9,0,0,0,1,0,28.6,South,Consumer,Desktop,0
13440,16,55.24,51.3,0,0,1,1,1,49.4,North,Consumer,Tablet,0
15211,11,53.67,66.3,1,0,0,0,1,68.0,East,SMB,SmartTV,0
18176,18,15.69,16.6,1,0,1,1,0,63.5,North,SMB,Mobile,0
19552,52,22.29,56.7,0,0,0,2,0,64.0,North,Consumer,SmartTV,0
13070,14,15.46,28.8,0,0,1,3,0,39.1,East,Enterprise,Mobile,0
9513,13,26.42,41.4,0,0,0,3,0,78.0,North,Consumer,Mobile,0
10477,52,20.99,19.1,0,0,0,6,0,69.9,South,Consumer,Mobile,0
16290,6,11.87,89.7,0,0,1,3,0,83.9,South,Consumer,SmartTV,0
15649,32,19.66,52.9,0,0,0,1,0,78.6,East,SMB,Tablet,0
7439,19,14.05,66.5,0,0,0,1,0,76.6,North,Consumer,Desktop,0
14149,27,13.55,84.0,1,0,0,2,0,82.6,East,SMB,Mobile,0
9273,17,11.77,13.6,3,0,0,0,0,26.8,West,Consumer,Mobile,1
7572,25,55.14,,0,0,0,2,1,22.6,West,Consumer,Mobile,0
8479,16,55.04,20.1,0,0,0,2,1,85.5,South,Consumer,SmartTV,0
15448,22,14.16,46.2,2,1,0,1,0,63.0,South,Consumer,SmartTV,1
2406,15,16.2,84.8,0,0,1,1,0,83.9,North,Consumer,SmartTV,0
2335,11,21.36,17.9,1,0,0,0,0,40.5,South,Consumer,Desktop,0
19008,32,52.63,46.2,1,0,1,1,1,71.0,East,Consumer,Mobile,0
12163,35,21.45,49.9,2,0,0,1,0,54.0,North,Consumer,Mobile,0
6836,20,12.26,34.3,0,0,0,2,0,57.8,North,Consumer,Mobile,0
6341,18,14.46,9.6,3,0,1,1,0,20.3,West,SMB,SmartTV,0
19864,40,15.12,19.6,3,1,0,4,0,26.2,West,Consumer,Mobile,0
9667,23,12.74,99.1,0,0,1,1,0,91.5,West,Consumer,SmartTV,0
12995,18,25.54,91.8,0,0,0,3,0,87.2,West,Consumer,Desktop,0
12144,32,18.54,3.3,2,0,0,1,0,33.4,North,Consumer,Desktop,0
5107,12,27.7,39.3,1,0,0,2,0,85.1,North,Consumer,SmartTV,0
504,63,17.64,15.2,1,0,1,2,0,68.7,South,Consumer,Tablet,0
5712,25,12.39,0.0,0,0,0,2,0,20.9,East,Consumer,Mobile,1
18734,21,13.77,26.5,4,0,0,1,0,48.4,West,Consumer,SmartTV,0
7730,20,19.17,28.7,0,0,0,1,0,51.2,North,SMB,Mobile,0
2044,8,12.53,45.2,0,0,0,2,0,45.9,West,Consumer,Mobile,0
19531,7,14.75,32.8,1,0,0,3,0,21.7,North,SMB,SmartTV,0
739,9,22.28,14.2,0,0,0,1,0,27.6,South,SMB,SmartTV,0
11873,21,50.38,86.7,0,0,0,0,1,55.6,East,SMB,Mobile,0
18880,20,11.79,28.5,1,0,0,3,0,69.1,South,Consumer,Mobile,0
607,22,13.16,45.6,1,0,0,0,0,73.4,West,SMB,Desktop,0
4120,15,15.31,14.7,1,0,0,3,0,45.1,South,Consumer,SmartTV,0
12105,4,13.65,11.5,2,0,0,1,0,17.7,East,Enterprise,SmartTV,0
7900,19,19.16,25.3,0,0,0,1,0,71.7,South,Consumer,Mobile,0
3705,11,11.51,66.3,0,0,0,0,0,58.6,North,Consumer,Mobile,0
475,7,9.89,5.5,0,0,0,1,0,46.0,North,Consumer,SmartTV,0
696,7,18.28,46.9,1,0,0,2,0,92.1,East,SMB,Desktop,0
9914,25,17.9,121.2,1,0,0,3,0,85.7,North,SMB,Mobile,0
14345,18,13.92,20.9,0,0,0,0,0,74.2,South,Consumer,Mobile,0
12614,15,17.1,45.3,1,1,0,2,0,40.9,East,SMB,Mobile,0
10813,24,17.23,53.2,0,0,0,2,0,,South,SMB,Desktop,0
8571,18,38.6,9.9,0,0,0,5,1,64.9,East,Consumer,Desktop,0
9726,73,20.17,27.0,1,0,0,0,0,42.1,West,Consumer,Desktop,0
13318,10,22.38,,1,1,1,4,0,39.1,South,SMB,SmartTV,0
6594,29,24.3,91.6,1,0,0,2,0,59.1,West,SMB,SmartTV,1
15904,15,46.45,11.7,1,0,0,1,1,39.1,West,Consumer,Desktop,1
13498,22,16.22,87.6,0,0,0,2,0,77.5,South,Consumer,SmartTV,0
14018,11,13.47,45.8,0,0,1,1,0,75.9,South,Consumer,Mobile,0
14350,16,31.42,29.7,0,0,0,2,1,42.4,West,Consumer,Mobile,1
5801,27,17.1,65.0,0,0,1,1,0,54.3,South,Consumer,Tablet,0
448,7,33.78,34.0,0,0,0,0,1,37.4,East,Consumer,Mobile,0
8077,51,18.85,38.0,1,0,0,0,0,65.9,North,SMB,Desktop,0
1979,24,20.97,0.0,0,0,1,2,0,7.6,East,Consumer,Mobile,0
5567,16,15.66,29.7,0,0,0,0,0,40.2,East,Consumer,Mobile,0
